Iteration	Posterior	Likelihood	Prior	neo_beta	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_beta	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
324	-4214.132	-4767.919	553.7871	0.7788331	0.472829	0.286965	0.120372	0.119834	1.169604	3.423111	0.9465837	0.483375	0.386073	0.11153	0.0190225
330	-4220.201	-4775.09	554.889	0.6486986	0.461166	0.304553	0.117403	0.116878	1.183415	3.008505	0.6799327	0.441861	0.352916	0.187835	0.0173888
336	-4232.16	-4786.212	554.0518	0.7527071	0.555921	0.278079	0.0397711	0.126229	1.181239	3.469373	0.6327802	0.480248	0.291196	0.204153	0.0244037
342	-4207.449	-4761.591	554.1415	0.7557902	0.424851	0.295029	0.0578925	0.222227	1.122061	3.469373	0.6007714	0.542207	0.254242	0.198322	0.00522899
348	-4194.937	-4748.721	553.7839	0.7557902	0.504679	0.200562	0.16407	0.130689	1.273702	3.332605	1.023872	0.497911	0.360246	0.130027	0.0118161
354	-4192.114	-4747.047	554.9324	0.7381773	0.536532	0.233273	0.110843	0.119352	1.312935	2.74357	0.8414991	0.587206	0.243884	0.153346	0.0155635
360	-4206.697	-4761.934	555.2369	0.650261	0.627207	0.198744	0.0447655	0.129283	1.312935	2.744917	0.6387706	0.584765	0.280217	0.11952	0.0154988
366	-4223.541	-4778.256	554.7147	0.650261	0.620077	0.196485	0.0442566	0.139182	1.4121	2.744917	1.047896	0.621774	0.075022	0.257819	0.0453848
372	-4220.028	-4775.742	555.7141	0.6711437	0.615997	0.195192	0.0501741	0.138636	1.470554	2.002267	1.140258	0.720587	0.0869446	0.139871	0.0525974
378	-4192.394	-4748.08	555.6857	0.6841071	0.49547	0.206442	0.186578	0.11151	1.461672	2.017898	1.140258	0.650034	0.129728	0.160052	0.0601863
384	-4205.113	-4760.965	555.8524	0.6280072	0.556285	0.166037	0.209479	0.068199	1.498928	2.101317	0.868904	0.659586	0.106681	0.154303	0.0794298
390	-4220.261	-4776.231	555.9698	0.5602816	0.541346	0.225991	0.140176	0.0924877	1.40388	2.161266	0.8272469	0.484629	0.275445	0.203392	0.0365345
396	-4208.632	-4764.296	555.6634	0.6266746	0.488652	0.313043	0.0701211	0.128184	1.455033	2.161266	1.009133	0.610995	0.225289	0.13114	0.0325759
402	-4216.093	-4771.669	555.5761	0.6263982	0.537722	0.261772	0.0594498	0.141056	1.354048	2.35546	0.896787	0.671241	0.12681	0.144071	0.0578792
408	-4213.602	-4769.181	555.5787	0.5965007	0.474309	0.284301	0.0952898	0.1461	1.558414	1.990436	1.293752	0.584568	0.135993	0.246917	0.0325218
414	-4201.295	-4756.464	555.1687	0.902457	0.560653	0.198518	0.0681323	0.172696	1.421202	2.220026	1.161275	0.680249	0.164382	0.0885174	0.0668517
420	-4197.587	-4753.014	555.4269	0.902457	0.644593	0.116351	0.0573147	0.181741	1.397977	2.288618	0.8200054	0.669892	0.212256	0.072094	0.0457586
426	-4198.43	-4753.611	555.1802	0.8307947	0.640809	0.0889782	0.0484723	0.22174	1.304007	2.464673	0.9529232	0.562737	0.178303	0.163488	0.0954718
432	-4204.57	-4760.607	556.0368	0.8307947	0.633087	0.087906	0.0517928	0.227214	1.431697	1.924949	0.8054895	0.666098	0.143573	0.0714282	0.118901
438	-4201.005	-4756.412	555.4065	0.589849	0.598171	0.150282	0.144694	0.106853	1.331568	2.335902	1.160312	0.590546	0.234427	0.0696123	0.105415
444	-4219.741	-4775.356	555.6155	0.646885	0.536053	0.267162	0.13523	0.0615542	1.415827	2.335902	0.8080927	0.611955	0.242926	0.0988371	0.0462823
450	-4225.97	-4781.496	555.5263	0.5897081	0.487288	0.245593	0.204996	0.0621225	1.419974	2.214989	1.140089	0.611111	0.24259	0.0327076	0.113591
456	-4210.425	-4766.28	555.8544	0.6247347	0.487132	0.224195	0.149649	0.139024	1.448153	2.12673	0.8819151	0.553333	0.193924	0.100601	0.152141
